Roll,Location,1,2,3,4,5,6,7,8,9,10,11,12,13
1-100,"Foot, top",1,1,3,3,"4,m1","4,m1","6,ib,m2","6,ib,m2","8,ib,m3","8,ib,m3","x2,ib,m4","x2,ib,m4","x2,ib,m5"
101-104,Heel,1,1,3,3,"4,m1","4,m1","6,ib,m2","6,ib,m2,a1","8,ib,m3,a1","8,ib,m3,a2","x2,ib,m4,a2","x2,ib,a2,d1,m4","x2,ib,a2,d2,m5"
105-136,Toe(s),1,1,3,3,"4,m1","4,m1","6,ib,m2","6,ib,m2","8,ib,m3","8,ib,m3","x2,ib,m4","x2,ib,m4","x2,ib,m5"
137-140,"Foot, arch",1,1,3,3,"4,m1","4,m1","6,ib,m2","6,ib,m2,a1","8,ib,m3,a1","8,ib,m3,a2","x2,ib,m4,a2","x2,ib,a2,d1,m4"
141-170,"Ankle, inner",1,1,3,"4,m1","6,m1","6,m2,f","8,m2,f","x2,d1,m3,f,ib","x2,d2,f,m4,ib","x2,d2,f,m5,ib","x2,d2,f,m5,ib","x2,d2,f,m5,ib","x2,ib,a2,d2,m5"
171-200,"Ankle, outer",1,1,3,"4,m1","6,m1","6,m2,f","8,m2,f","x2,d1,m3,f,ib","x2,d2,f,m4,ib","x2,d2,f,m5,ib","x2,d2,f,m5,ib","x2,d2,f,m5,ib","x2,d2,t1,ib,f,m5"
201-220,"Ankle, upper/Achilles",1,1,3,3,"4,m1","4,m1","6,m1","6,m2","8,m2","x2,d1,m3","x2,d2,f,m4","x2,d2,f,m5","x2,d2,t1,ib,f,m5"
221-964,Shin,1,1,3,3,4,4,"6,m1","6,m1","8,m1","8,d1,m1","x2,d2,f,m1","x2,d2,f,m2","x2,d2,f,m5"
965-1006,Calf,1,1,3,3,"4,m1","4,m1","6,m1","6,m2","8,m2","x2,d1,m3","x2,d2,f,m4","x2,d2,f,m5","x2,d2,f,m2"
1007-1118,Knee,1,1,3,"4,m1","6,m1","6,m2,f","8,m2,f","x2,d1,m3,f,t1","x2,d2,f,m4,ib","x2,d2,f,m5,t1","x2,d2,f,m5,ib","x2,d2,f,m5,ib","x2,d2,t1,ib,f,m5"
1119-1132,"Knee, back",1,1,3,4,"6,m1","6,m1","8,m2","x2,d1,m2","x2,d2,f,m3","x2,d2,f,m3","x2,d2,f,m4","x2,d2,f,m4","x2,d2,ib,f,m5"
1133-1216,Hamstring,1,3,"4,m1","6,m1","6,m2","8,m2","x2,d1,m3","x2,d2,f,m4","x2,d2,f,m5","x2,d2,f,m5","x2,d2,f,m5,t1","x2,d2,mt1,f,m5","x2,d3,ib,f,m5"
1217-2000,Thigh,1,3,"4,m1","6,m1","6,m2","8,m2","x2,d1,m3","x2,d2,f,m4","x2,d2,f,m5","x2,d2,f,m5","x2,d2,f,m5","x2,d2,mt1,f,m5","x2,d3,ib,f,m5,mt2"
2001-2330,Hip,1,3,"4,m1","6,m1","8,m2","x2,m2","x2,d1,m3","x2,d2,f,m4","x2,d2,t1,f,m5","x2,d2,t1,f,m5","x3,d2,f,t1,m5","x3,d2,bm1,f,m5","x3,d3,bf2,f,m5"
2331-2405,Groin (male only),"1,f,h1","3,f,h1","4,f,h2","4,m1,f,h2","6,m1,f,h2","6,m1,f,h3","8,m2,f,h3","8,m2,f,h4","x2,m2,f,h4","x2,m3,f,h4","x2,m3,f,h5","x3,m3,f,h5","x3,m4,f,h5"
2406-2435,Buttock,1,3,4,6,8,x2,"x2,m1","x2,m1","x2,m2","x2,m2,mt1","x3,m3","x3,m3,d1","x3,m3,d1,t1"
2436-2570,"Abdomen, lower",3,4,6,8,x2,"x2,ws","x2,ib","x2,ib,f","x3,ws,v1","x3,w,ib,f","x3,w,v1,f","x3,mt1,w,ib,f","x3,mt1,v2,w,f"
2571-3020,"Side, lower",1,3,4,6,8,x2,"x2,a1","x2,a1,ws","x2,a2,ws","x3,a2,ws,mt1","x3,a2,ws,mt2","x3,a2,ws","x3,a2,w"
3021-3110,"Abdomen, upper",3,4,6,8,x2,"x2,ws","x2,ib","x2,ib,f","x3,ws,v1","x3,w,ib,f","x3,w,v1,f","x3,mt1,w,ib,f","x3,mt1,v1,w,f"
3111-3125,"Back, Small of",3,4,6,8,x2,"x2,ws","x2,ib","x2,w,ib","x2,w,mt1","x3,w,ib","x3,w,mt1,ib","x3,mt2,w,ib","x3,mt2,v1,w"
3126-3155,"Back, lower",3,4,6,8,x2,"x2,ws","x2,ib","x2,ib,f","x3,ws,mt1","x3,w,ib,f","x3,w,mt1,f","x3,mt1,w,ib,f","x3,mt1,w,f"
3156-3425,Chest,3,4,6,8,x2,"x2,ws","x2,ws,t1","x2,w,t1","x2,w,t2,ib","x3,w,t2","x3,w,bm1","x3,bf1,w,ib","x3,mt2,t3,w"
3426-3455,"Side, upper",3,4,6,8,x2,"x2,ws","x2,ws,t1","x2,w,t1","x2,w,t1,ib","x3,w,t2","x3,w,bm1","x3,bm1,w,v1","x3,t2,v1,w"
3456-3485,"Back, upper",3,4,6,8,x2,"x2,ws","x2,ws","x2,w","x2,w,mt1","x3,w,mt1","x3,w,f","x3,t1,w","x3,mt2,f,w"
3486-3500,"Back, upper middle",3,4,6,8,x2,"x2,ws","x2,ws","x2,w","x2,w,mt1","x3,w,mt1","x3,w,f","x3,t1,w","x3,mt1,f,w"
3501-3821,Armpit,1,3,4,6,8,"x2,ws","x2,a1,ws","x2,a1,ws","x2,a2,ws","x2,a2,ws","x2,a3,d1,ws","x2,a3,d1,w","x3,a3,d1,w"
3821-4300,"Arm, upper outer",1,3,4,6,6,8,x2,"x2,ws","x2,a1,ws","x2,a1,ws","x2,a2,ws","x2,a2,ws","x2,a3,ws"
4301-4492,"Arm, upper inner",1,3,4,6,6,8,x2,"x2,ws","x2,a1,ws","x2,a1,ws","x2,a2,ws","x2,a2,ws","x2,a3,ws"
4493-4588,Elbow,1,1,3,3,4,"4,a1,ws","6,a1,ws","6,a1,ws","8,a2,ws","8,a2,w,ib","x2,a2,w,ib","x2,w,a2,ib","x2,w,a3,ib"
4589-4684,Inner arm joint,1,1,3,3,4,"4,a1","6,a1","6,a1,ws","8,a2,ws","8,a2,ws","x2,a2,ws","x2,w,a2,ib","x2,w,a3,ib"
4685-5308,"Forearm, back",1,3,4,6,6,8,x2,"x2,ws","x2,a1,ws","x2,a1,ws","x2,a2,ws","x2,a2,ws","x2,a3,ws"
5309-5836,"Forearm, inner",1,3,4,6,"6,ws","8,ws","x2,ws","x2,ws","x2,a1,ws","x2,a1,ws","x2,a2,w","x2,a2,ws","x2,a3,ws"
5837-5908,"Wrist, back",1,3,3,"4,ws","4,ws,a1","6,ws,a1","8,ws,a1","8,ws,a2","8,ws,a2,ib","8,w,a2,ib","8,w,a2,ib","x2,w,a2,ib","x2,w,a3,ib"
5909-5980,"Wrist, front",1,3,3,"4,ws","4,ws,a1","6,ws,a1","8,ws,a1","8,ws,a2","8,ws,a2,ib","8,w,a2,ib","8,w,a2,ib","x2,w,a2,ib","x2,w,a3,ib"
5981-6052,"Hand, back",1,1,3,3,4,4,"6,ib","6,ib,a1","8,ib,a1","8,ib,a2","x2,ib,a2","x2,ib,a2","x2,ib,a2"
6053-6076,Palm,1,1,3,3,4,4,6,6,"6,ib","6,ib,a1","8,ib,a1","8,ib,a2","x2,ib,a2"
6077-6220,Finger(s),1,3,3,3,4,4,"6,ib","6,ib","8,ib","8,ib","x2,ib","x2,ib","x2,ib"
6221-7180,"Shoulder, side",1,3,4,6,6,8,x2,"x2,ws","x2,a1,ws","x2,a1,ws","x2,a2,ws","x2,a2,ws","x2,a3,ws"
7181-9100,"Shoulder, top",1,4,4,6,8,x2,"x2,a1,ws","x2,a1,ws","x2,a2,ws","x2,a2,ws","x2,a3,d1,ws","x2,a3,d1,w","x3,a3,d1,w"
9101-9121,"Neck, front",3,4,6,8,x2,"x2,ws,a1,d1","x2,w,a1,d1","x2,f,a1,d1","x2,a2,d2,f","x2,a2,d2,f,mc","x2,a3,d1,ws","x3,a3,d3,u","x3,a3,d3,u"
9122-9142,"Neck, back",3,4,6,8,x2,"x2,ws,a1,d1","x2,w,a1,d1","x2,f,a1,d1,p","x2,a2,d2,f,p","x2,a2,d2,f,p","x2,a2,d2,f,mc","x3,a2,d3,u","x3,a2,d3,u"
9143-9373,"Neck, side",3,8,6,8,x2,"x2,ws,a1,d1,","x2,w,a1,d1","x2,f,a1,d1","x2,a2,d2,f","x2,a2,d2,f,mc","x2,a2,d2,f,p","x3,a2,d3,f,mt1","x3,a2,d3,f,mt1"
9374-9653,"Head, side",6,8,x2,"x2,f","x2,a1,d1,f","x2,a2,d2,f","x3,a2,d2,f","x3,a3,d3,f","x3,a3,d3,f","x3,a4,d4,f","x2,a2,d2,f,p","x4,a4,d4,f,sc","x4,a5,d5,u,sc"
9654-9688,"Head, back lower",6,6,x2,"x2,f","x2,d1,f","x2,a1,d2,f","x3,a1,d2,f","x3,a2,d3,f","x3,a2,d3,f,p","x3,a3,d4,f","x3,a4,d4,f,mc","x4,a3,d4,f,sc,p","x4,a5,d5,u,sc"
9689-9768,"Face, lower side",4,6,8,x2,"x2,f","x2,a1,f","x2,a2,u","x3,mt1,a3,d1,f","x3,mt1,a3,d1,u","x3,mt1,a4,d2,f,mc","x3,a3,d4,f,mc","x4,t1,a4,d2,u,mc","x4,a4,d5,u,sc"
9769-9788,"Face, lower center",4,6,8,x2,"x2,f","x2,a1,d1,f","x2,a2,d2,u","x3,a3,d3,f","x3,a3,d3,u","x3,a4,d4,f,mt1","x3,mt1,a4,d2,u,mc","x4,a4,d4,u,mc","x4,mt1,a3,d1,f,sx"
9789-9823,"Head, back upper",6,8,x2,"x2,f","x2,a1,d1,f","x2,a2,d2,f","x3,a2,d2,f","x3,a3,d3,f","x3,a3,d3,f","x3,a4,d4,f","x3,a4,d4,mc","x4,a4,d4,f,sc","x4,t2,a3,d3,f,mc,mt1"
9824-9903,"Face, upper side",6,8,x2,"x2,f","x2,a1,d1,f","x2,a2,d2,f","x3,a2,d2,f","x3,a3,d3,f","x3,a3,d3,f","x3,a4,d4,f","x3,a4,d4,f,nib,mc","x4,a4,d4,f,sc","x4,a5,d5,u,mt1,sc"
9904-9923,"Face, upper center",6,8,x2,"x2,f","x2,a1,d1,f","x2,a2,d2,f","x3,a2,d2,f","x3,a3,d3,f","x3,a3,d3,f","x3,a5,d5,f","x3,a4,d4,f,mc","x4,a4,d4,f,sx","x4,a5,d5,u,sc"
9924-10000,"Head, top",8,x2,"x2,f","x2,a1,d1,f","x2,a2,d2,f","x3,a2,d2,f","x2,a3,d3,f","x3,a3,d3,f","x3,a4,d4,f","x3,a4,d4,f,mc","x4,a4,d4,u,sc","x4,a5,d5,u,sc","x4,a6,d6,u,sc"